2020-01-03 07:42:06.273 INFO   [0x70bcc460](Gateway.c:475 Server_routine) - Start Broadcast to LBeacon
2020-01-03 07:42:06.273 INFO   [0x70bcc460](Gateway.c:759 broadcast_to_beacons) - ==Current in Brocast==
2020-01-03 07:42:06.273 INFO   [0x70bcc460](Gateway.c:782 broadcast_to_beacons) - END Broadcast
2020-01-03 07:42:07.127 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[2], pkt_type=[4] API_version=[2.100000] new_node -> content=[]
2020-01-03 07:42:07.128 INFO   [0x75513460](Gateway.c:1019 process_wifi_receive) - Get Tracked Object Data from the Server
2020-01-03 07:42:07.174 INFO   [0x703cc460](Gateway.c:473 Server_routine) - Send tracked data request to LBeacon
2020-01-03 07:42:07.174 INFO   [0x703cc460](Gateway.c:475 Server_routine) - Start Broadcast to LBeacon
2020-01-03 07:42:07.174 INFO   [0x703cc460](Gateway.c:759 broadcast_to_beacons) - ==Current in Brocast==
2020-01-03 07:42:07.175 INFO   [0x703cc460](Gateway.c:782 broadcast_to_beacons) - END Broadcast
2020-01-03 07:42:08.130 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[2], pkt_type=[4] API_version=[2.100000] new_node -> content=[]
2020-01-03 07:42:08.130 INFO   [0x75513460](Gateway.c:1019 process_wifi_receive) - Get Tracked Object Data from the Server
2020-01-03 07:42:08.176 INFO   [0x6fbcc460](Gateway.c:473 Server_routine) - Send tracked data request to LBeacon
2020-01-03 07:42:08.176 INFO   [0x6fbcc460](Gateway.c:475 Server_routine) - Start Broadcast to LBeacon
2020-01-03 07:42:08.176 INFO   [0x6fbcc460](Gateway.c:759 broadcast_to_beacons) - ==Current in Brocast==
2020-01-03 07:42:08.176 INFO   [0x6fbcc460](Gateway.c:782 broadcast_to_beacons) - END Broadcast
2020-01-03 07:42:08.731 INFO   [0x75513460](Gateway.c:979 process_wifi_receive) - pkt_direction=[8], pkt_type=[1] API_version=[1.100000] new_node -> content=[00010015000000054605000000018086;1578037328;192.168.14.12;]
